b,bb,g,path,r
25.5439175379,-10.4700794491,39.8709781613,ANd9GcQ9bmfqW1TlE0a5trMTW86tzYJoPLR7HPOWh-Pg2wXmvApSQADj.jpg,41.2298151387
-23.9707772726,-17.6743637007,-1.60977352516,ANd9GcQa35xTzYNjAQNDmtLwFeDlzmWaIo8FCdO2s5vDLJg0UEMyb7DN.jpg,40.5496319673
-7.02358674509,-8.32899473769,-2.47983943493,ANd9GcQa3PvIHC-YnpMcLzK0cVpbKlIjHHSL0kz29phpQRX6Xax-rE0IPw.jpg,44.1196478454
-7.98742946539,-15.3597480669,-7.51044672832,ANd9GcQA3y12z2JUN3_1BvTjEYYIMU4VrWowaufHSfp-K8r2vwOUpQ2JIg.jpg,56.9108872748
-24.8905746094,-5.36879841828,33.1391129772,ANd9GcQaMTGizr08BdDihGFW22sxHyZUFZazT0-DhlYUjZLceKYUv87Jvw.jpg,32.3162386553
-12.6981465039,-8.37224070919,-3.69775455714,ANd9GcQaoOxrMFowXI7eQDHr6d8Uzw5fOgUAKwZt3LpuPYAOCwk4yOwCxg.jpg,70.1036519827
-26.11965809,-27.0016145218,2.62296113855,ANd9GcQAPBORQYPq7vAkwjr6MFiu0BAwrn6OzEMgSzSl8Yi-Sp8izacE_w.jpg,42.063917702
-12.4568204213,12.9990427606,-4.34212226703,ANd9GcQArho3P1-HKCO0CaxP2b-rdOM9GWOBCny0ZkhZV_-Xxn6iZZX2.jpg,51.0771945506
-12.4207237825,-15.2787847146,-6.6014314286,ANd9GcQb2QZyGykdlIDjj1iBZ6TCF_Vy7zCbZoYJAAgWkUXsbSQlCQXZZQ.jpg,50.7265516459
-7.74301021155,-9.18841084703,-0.336287239638,ANd9GcQBLStj7Fn48YKX_-y1Iv6IjTCvrtDVwGMzS-OyqPiNuONj1_O55w.jpg,49.2243663657
-2.95039661945,2.26973677377,-0.24634417422,ANd9GcQbM19ibVFi7quH_Jcn0f1j-FuQteanv_cmL7Cnc2YKAlV3Jjj6qw.jpg,49.9981838946
-2.26432580104,1.13059006593,44.3653172383,ANd9GcQBmz9VBm4Okn1pjl7lqfdP47hq0PxOHtnNtjhFOhSoE0doLQzW.jpg,40.9760486027
8.26088586329,-11.2967461746,-2.78336985756,ANd9GcQbNXkgKUKGShZfqCxT0ID87NtJ31c_DWfy8yDpb6nBY6YzaLUn.jpg,29.123685672
-23.4581420177,-20.8970726369,-1.08422389621,ANd9GcQbo-L9LD8o1IRMgf96ExpiQJrpmX8Vu3v-Ngjf6NbDZjD6xnuYIQ.jpg,29.5976465847
4.65135573025,-14.9766819046,-1.53795627778,ANd9GcQboq1Gg0Q7aTErq9oKiwSq2-X2Hu8lFbelvk6SX25N6SuJ5eG1cg.jpg,23.2699438444
-14.3598366241,-12.1292948762,-2.44897107468,ANd9GcQBQJncxQKcm335M26pQvhSqS9tPq9BMQFzrn8tOXKhpOrqYi071w.jpg,43.8931613141
-54.6057489807,-4.54364653573,-19.3333791896,ANd9GcQBQVSSR6g0Yyi_I94Wu4uc0Q9uTIDm6nx_yFyNJJh4DK_b46Z7.jpg,68.0180406221
-8.66170589595,5.62763434135,-3.71000158648,ANd9GcQBrvTM9C7sj7UndKDmJz4UZUdMe5ZpoHIIEfUg0iRPW1ycM9gsRw.jpg,64.833577211
4.62871786665,-17.7712191911,-0.171501366865,ANd9GcQByP1-p5okUsTrNnKELK9u9H1nNQzyj_DFlXxA6PIUfuQu-WVB.jpg,43.2083985822
4.73745458386,0.499971396415,3.03107774822,ANd9GcQC9j1fmFEHdPQUSHgBmUbr_NXDGBHYrbvkkbMTSF4KRq70dqMCyw.jpg,35.6129704943
-11.3853703076,-13.6693952962,-3.5873359098,ANd9GcQCCik_LEJruiEgOtArU2u32BeoQAK29sSEtQC4VW9Km7maIWQWzQ.jpg,49.9186744982
-21.7645960361,-20.9058128044,-21.1611698476,ANd9GcQCpmJHNl41fvMwqPjlEm6X-pHhneT6heju6H9DRz9rBMeSfIwkpQ.jpg,63.2290814606
-12.7455122566,-18.0898612629,-5.36868650261,ANd9GcQcqqIUMeERnExCExHSX403_vl1wR823izA-Ef_m4UudQzeBp7i.jpg,49.7597888836
18.3199130417,-11.6930101663,-0.639853567973,ANd9GcQctqQc75qFFokozjwtQnPheUnCIZEmkMi1ECUtVJKsteyp9tmw6A.jpg,46.1258891038
37.6840922074,-3.01794236635,29.0963309282,ANd9GcQCV8_89q_UtP6v7HpojrNvIlDKIFcGVltUayatuPhAAal19B7t.jpg,58.456515051
-2.61970036833,-12.7059786582,-7.12121194744,ANd9GcQd2sLf5mOFuTbkG0CYtw_F6nxXpKUinaiVFbFlmPWNXc9x4BWKug.jpg,23.6836691151
17.0724363324,-13.6759898417,-3.79653009093,ANd9GcQD4GqFNJm5hcYrHpy-xiQsr2j1SCI77moYWxXnQtgr2XyxB7q5.jpg,34.3885888432
-8.78109425124,-19.9258436959,1.86047453706,ANd9GcQd6rdmNd95ZOG0LMAK3osxA_tHAvRE1PPbSNUU3OTiYLpvb8e4UQ.jpg,37.6653566551
-10.8204422489,-16.0009545267,-11.6082707872,ANd9GcQd79AVr70cCXHbFN5GTStxxyiLYstdCUfhi8eadj_Npb6VEYQY.jpg,61.2458851401
